common name,scientific name,status,which country
Stork Yellow-billed,Mycteria ibis,Resident,Sierra Leone not Ghana
Ibis Olive,Bostrychia olivacea,Resident,Sierra Leone not Ghana
Dove Lemon,Columba larvata,Resident,Sierra Leone not Ghana
Swift African Black,Apus barbatus,Resident,Sierra Leone not Ghana
Honeyguide Lyre-tailed,Melichneutes robustus,Resident,Sierra Leone not Ghana
Parrot Timneh,Psittacus timneh,Resident,Sierra Leone not Ghana
Wattle-eye Yellow-bellied,Platysteira concreta,Resident,Sierra Leone not Ghana
Boubou Turati`s,Laniarius turatii,Resident,Sierra Leone not Ghana
Grassbird Fan-tailed,Catriscus brevirostris,Resident,Sierra Leone not Ghana
Cisticola Chattering,Cisticola anonymus,Resident,Sierra Leone not Ghana
Prinia Sierra Leone,Schistolais leontica,Resident,Sierra Leone not Ghana
Starling Emerald,Lamprotornis iris,Resident,Sierra Leone not Ghana
Robin-Chat Grey-winged,Sheppardia polioptera,Resident,Sierra Leone not Ghana
Stonechat African,Saxicola torquatus,Resident,Sierra Leone not Ghana
Malimbe Gola,Malimbus ballmanni,Resident,Sierra Leone not Ghana
Seedcracker Crimson,Pyrenestes sanguineus,Resident,Sierra Leone not Ghana
Twinspot Dybowski`s,Euschistospiza dybowskii,Resident,Sierra Leone not Ghana
Wagtail Mountain,Motacilla clara,Resident,Sierra Leone not Ghana
Flamingo Greater,Phoenicopterus roseus,Migrant (Non-Breeding),Sierra Leone not Ghana
Crane Black Crowned,Balearica pavonina,Migrant (Non-Breeding),Sierra Leone not Ghana
Partridge Stone,Ptilopachus petrosus,Resident,Sierra Leone not Liberia
Ibis African Sacred,Threskiornis aethiopicus,Resident,Sierra Leone not Liberia
Eagle Western Banded Snake,Circaetus cinerascens,Resident,Sierra Leone not Liberia
Eagle Martial,Polemaetus bellicosus,Resident,Sierra Leone not Liberia
Bustard Denham`s,Neotis denhami,Resident,Sierra Leone not Liberia
Bustard Black-bellied,Lissotis melanogaster,Resident,Sierra Leone not Liberia
Roller Blue-bellied,Coracias cyanogaster,Resident,Sierra Leone not Liberia
Wood Hoopoe Green,Phoeniculus purpureus,Resident,Sierra Leone not Liberia
Scimitarbill Black,Rhinopomastus aterrimus,Resident,Sierra Leone not Liberia
Woodpecker Fine-spotted,Campethera punctuligera,Resident,Sierra Leone not Liberia
Woodpecker Brown-backed,Dendropicos obsoletus,Resident,Sierra Leone not Liberia
Lovebird Red-headed,Agapornis pullarius,Resident,Sierra Leone not Liberia
Bushshrike Grey-headed,Malaconotus blanchoti,Resident,Sierra Leone not Liberia
Bushshrike Orange-breasted,Chlorophoneus sulfureopectus,Resident,Sierra Leone not Liberia
Boubou Turati`s,Laniarius turatii,Resident,Sierra Leone not Liberia
Helmetshrike White-crested,Prionops plumatus,Resident,Sierra Leone not Liberia
Cuckooshrike White-breasted,Ceblepyris pectoralis,Resident,Sierra Leone not Liberia
Shrike Yellow-billed,Lanius corvinus,Resident,Sierra Leone not Liberia
Piapiac,Ptilostomus afer,Resident,Sierra Leone not Liberia
Flycatcher African Blue,Elminia longicauda,Resident,Sierra Leone not Liberia
Lark Sun,Galerida modesta,Resident,Sierra Leone not Liberia
Leaflove Yellow-throated,Atimastillas flavicollis,Resident,Sierra Leone not Liberia
Swallow Pied-winged,Hirundo leucosoma,Resident,Sierra Leone not Liberia
Crombec Northern,Sylvietta brachyura,Resident,Sierra Leone not Liberia
Grassbird Fan-tailed,Catriscus brevirostris,Resident,Sierra Leone not Liberia
Cisticola Rufous,Cisticola rufus,Resident,Sierra Leone not Liberia
Cisticola Black-backed,Cisticola eximius,Resident,Sierra Leone not Liberia
